"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"가천대학교산학협력단","가천대학교 산학협력단 계약직 직원 채용(산학협력)","https://www.saramin.co.krundefined","경기 성남시 수정구","경력무관 · 계약직","대학교(4년)↑","~12.26(목)","신입","240 만원"
"영남대학교","영남대학교 계약직원(디지털융합대학 행정실) 채용 공고","https://www.saramin.co.krundefined","경북 경산시","경력무관 · 계약직","대학교(4년)↑","D-5","신입","면접 후 협의"
"(주)동양저축은행","[광주광역시 동양저축은행] 경영지원팀 행원 채용공고","https://www.saramin.co.krundefined","광주 동구","경력무관 · 정규직","대학교(4년)↑","~01.16(목)","신입","면접 후 협의"
"동광제약(주)","동광제약 영업관리팀 신입 및 경력사원 채용","https://www.saramin.co.krundefined","서울 중구","경력무관 · 정규직","대학교(4년)↑","~12.30(월)","신입","면접 후 협의"
"(주)지오영","[(주)지오영] 인천센터QA 신입 및 경력직원 모집(사원,주임)","https://www.saramin.co.krundefined","인천 계양구","신입 · 경력 · 정규직","대학교(4년)↑","~12.29(일)","신입","면접 후 협의"
"대세산업(주)","재무회계팀(인사/총무)정규직 채용","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직","학력무관","D-4","신입","면접 후 협의"
"(주)삼광","(주)삼광윈테크 제조팀 사출파트 OP채용 모집(경력)","https://www.saramin.co.krundefined","경북 경산시 외","신입 · 정규직","학력무관","~01.05(일)","신입","면접 후 협의"
"상신브레이크(주)","2025년 상신브레이크 신입/경력 채용","https://www.saramin.co.krundefined","대구 달성군 외","신입 · 경력 · 정규직","대학교(4년)↑","~01.07(화)","신입","면접 후 협의"
"(주)리프패럿","리프패럿 본사 신입/경력 부문별 채용","https://www.saramin.co.krundefined","부산 금정구 외","신입 · 경력 · 정규직 외","학력무관","~12.31(화)","신입","면접 후 협의"
"(주)비주","[신입] 패키지 개발실 사무보조","https://www.saramin.co.krundefined","경기 파주시","신입 · 정규직","학력무관","채용시","신입","면접 후 협의"
"코츠테크놀로지㈜","[분당/코스닥] 생산, 조립, 검사 담당자 채용","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 정규직 외","학력무관","~01.16(목)","신입","면접 후 협의"
"(주)아이에스티엔터테인먼트","제작3본부 앨범제작프로덕션팀 신입또는 경력직 채용","https://www.saramin.co.krundefined","서울 성동구","경력무관 · 계약직","학력무관","~01.16(목)","신입","면접 후 협의"
