회사명,설립일,대표자명,업종,재무정보,기업주소
(주)트릿지,2015년 12월 24일                                (업력 10년차),신호식,컴퓨터 프로그래밍 서비스업,매출액 674.1억 영업이익 - 333.2억 (2023년 기준) 전체),"서울 서초구 방배로 226, 1층,2층, 4층, 5층, 6층, 별관2층 (방배동,넥센강남타워)"
한국산업기술시험원,1966년 04월 13일                                (업력 59년차),김세종,기타 공학 연구개발업,"매출액 2,350.2억 영업이익 - 152.2억 (2022년 기준) 전체)",경남 진주시 충의로 10
한국생산기술연구원,1989년 09월 22일                                (업력 36년차),이상목,기타 공학 연구개발업,"매출액 4,382.4억 영업이익 149.9억 (2023년 기준) 전체)",충남 천안시 서북구 입장면 양대기로길 89
프레스티지바이오파마아이디씨(주),2021년 04월 22일                                (업력 4년차),고상석,의학 및 약학 연구개발업,-,부산 강서구 명지국제6로 164
에스케이바이오팜(주),2011년 04월 01일                                (업력 14년차),이동훈,의학 및 약학 연구개발업,-,경기 성남시 분당구 판교역로 221
지에스건설(주),1969년 12월 19일                                (업력 56년차),허윤홍/허창수,토목시설물 건설업,-,서울 종로구 종로 33
한국전력공사,1981년 12월 31일                                (업력 44년차),김동철,송전 및 배전업,-,전남 나주시 전력로 55
(주)사람인,2005년 10월 07일                                (업력 20년차),황현순,포털 및 기타 인터넷 정보매개 서비스업,매출액 951.7억 영업이익 255.7억 (2023년 기준) 전체),"서울 구로구 디지털로34길 43, 14층"
(주)호반건설,1996년 08월 01일                                (업력 29년차),박철희/변부섭,토목시설물 건설업,"매출액 1.8조 영업이익 1,851.6억 (2023년 기준) 전체)",전남 나주시 전력로 55
씨제이올리브네트웍스(주),1995년 03월 15일                                (업력 30년차),유인상,컴퓨터시스템 통합 자문 및 구축 서비스업,"매출액 6,765.2억 영업이익 509.5억 (2023년 기준) 전체)","서울 구로구 디지털로34길 43, 14층"
소니코리아(주),1990년 02월 20일                                (업력 35년차),오쿠라키쿠오,가전제품 및 부품 도매업,"매출액 3,215.7억 영업이익 23.6억 (2024년 기준) 전체)","서울 서초구 양재대로2길 18 (우면동,호반파크2관)"
(주)도화엔지니어링,1962년 05월 05일                                (업력 63년차),박승우/손영일/곽준상/김덕구,건물 및 토목 엔지니어링 서비스업,-,서울 강남구 삼성로 438
에스디바이오센서(주),2010년 12월 21일                                (업력 15년차),이효근/허태영,전기식 진단 및 요법 기기 제조업,"매출액 2,916.5억 영업이익 - 1,528.2억 (2023년 기준) 전체)","서울 용산구 한강대로 366, 10층 (동자동,트윈시티)"
(주)케이지엔지니어링종합건축사사무소,1994년 09월 29일                                (업력 31년차),천병희,건물 및 토목 엔지니어링 서비스업,"매출액 1,396.8억 영업이익 138.6억 (2023년 기준) 전체)",경기 의정부시 의정로 20
(주)유라코퍼레이션,1993년 09월 22일                                (업력 32년차),엄대열,그 외 자동차용 신품 부품 제조업,매출액 2.5조 영업이익 266.6억 (2023년 기준) 전체),경기 성남시 분당구 판교로 308
(주)동명기술공단종합건축사사무소,1962년 04월 17일                                (업력 63년차),신완수,건물 및 토목 엔지니어링 서비스업,"매출액 2,314.7억 영업이익 29.6억 (2023년 기준) 전체)","경기 화성시 노작로4길 8, 4층 (반송동,성원프라자)"
