"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"(주)핀샷","[핀테크] 자금세탁방지 및 전기통신사기 대응 담당자","https://www.saramin.co.krundefined","서울 마포구","신입 · 경력 · 정규직 외","대학(2,3년)↑","~01.15(수)","인턴","면접 후 협의"
"사단법인 꿈행복친구","(사)꿈행복친구 발달장애인주간활동서비스 제공인력(확장) 모집","https://www.saramin.co.krundefined","대구 중구","신입 · 경력 · 인턴직","학력무관","~01.15(수)","인턴","면접 후 협의"
"(주)에스지메디언스","[피토버] 디자인 정규직 채용전환형 인턴사원 채용 (유연근무)","https://www.saramin.co.krundefined","서울 금천구","경력무관 · 인턴직","대학(2,3년)↑","~01.15(수)","인턴","면접 후 협의"
"세무법인해솔","세무법인해솔에서 함께할 직원(회계사무원)을 채용합니다.","https://www.saramin.co.krundefined","부산 금정구","신입 · 인턴직","대학(2,3년)↑","~02.14(금)","인턴","면접 후 협의"
"(주)한국리서치","마케팅/여론조사 사업부 인턴 연구원 채용","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"케이비자산운용(주)","주식운용본부 인턴사원 채용공고 (~12/22)","https://www.saramin.co.krundefined","서울 영등포구","경력무관 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"근로복지공단","[창원병원] 2024년도 하반기 청년(체험형)인턴 채용","https://www.saramin.co.krundefined","경남 창원시 성산구","신입 · 인턴직","학력무관","D-2","인턴","면접 후 협의"
"(주)한국리서치","마케팅/여론조사 사업부 인턴 연구원 채용(여론조사사업본부)","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"(주)한국리서치","마케팅/여론조사 사업부 인턴 연구원 채용(이노베이션사업본부)","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"크림(주)","[네이버] KREAM Global팀 체험형 인턴 모집","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","학력무관","D-4","인턴","면접 후 협의"
"에이블메디스킨 분당","에이블메디스킨(3/3근무제)분당점 피부관리사 채용(다양한 복지)","https://www.saramin.co.krundefined","경기 성남시 분당구 외","경력무관 · 정규직 외","학력무관","~01.15(수)","인턴","3,000 만원"
