"회사명","제목","공고링크","지역","마감일","가까운역"
"(주)브이드림","[브이드림] 전략사업팀 과제 기획 및 운영 부분 채용(서울)","https://www.saramin.co.krundefined","서울 서초구","채용시","3남부터미널역 도보 7분 이내"
"(주)JB금융지주","[JB금융지주] HR전략부 전문계약직 채용","https://www.saramin.co.krundefined","서울 영등포구","D-4","59여의도역 도보 7분 이내"
"(주)모젠컴퍼니","아웃소싱 인사관리자(잡매니저)채용 (신입/주임급)","https://www.saramin.co.krundefined","대구 달서구","~01.16(목)","2성서산업단지역 도보 3분 이내"
"(주)소만사","판교에서 함께 근무할 IT 세일즈 전문가(정보보안 SW솔루션)","https://www.saramin.co.krundefined","서울 영등포구","~12.29(일)","5영등포시장역 도보 7분 이내"
"(주)동성케미컬","[동성케미컬] Bioplastic사업부 영업 및 마케팅 경력사원 모집","https://www.saramin.co.krundefined","서울 중구","~01.01(수)","14공항경의중앙서울역 도보 7분 이내"
"(주)소만사","가상화SW솔루션(VDI) 운영관리자(고객사 출퇴근)","https://www.saramin.co.krundefined","서울 마포구","~12.29(일)","경의중앙수색역 도보 12분 이내"
"(주)바이오미스트테크놀로지","향기마케팅 경영지원부(법인회계, 세무 및 결산) 채용","https://www.saramin.co.krundefined","서울 영등포구 외","~12.27(금)","25영등포구청역 도보 7분 이내"
"법무법인(유)대륜변호사","[상시채용]법무법인(유한) 대륜 서울 외근전담 법률비서 채용","https://www.saramin.co.krundefined","서울 용산구","상시채용","14공항경의중앙서울역 도보 3분 이내"
"서면어린이치과의원","주4.5일근무) 서면어린이치과 치과위생사 모집","https://www.saramin.co.krundefined","부산 부산진구 외","~02.16(일)","12서면역 도보 4분 이내"
"(주)디옴","하이엔드 수입가구 Minotti 및 Poliform 영업자 모집","https://www.saramin.co.krundefined","서울 강남구","채용시","7학동역 도보 1분 이내"
"(주)디옴","Poliform &amp; Minotti 설계 및 영업 담당","https://www.saramin.co.krundefined","서울 강남구","채용시","7학동역 도보 1분 이내"
"(주)디옴","Poliform 시공감리(시스템가구, 주방가구) 담당 경력자 모집","https://www.saramin.co.krundefined","서울 강남구","채용시","7신분당논현역 도보 4분 이내"
"서면어린이치과의원","(주5일근무) 서면어린이치과에서 데스크 직원을 채용합니다.","https://www.saramin.co.krundefined","부산 부산진구","~02.16(일)","12서면역 도보 4분 이내"
"(주)페슬","인플루언서 커머스 매니저 신입/경력직 모집","https://www.saramin.co.krundefined","서울 강남구","상시채용","2신분당강남역 도보 3분 이내"
"스웨덴무역투자대표부","Specialist in Business Support Services","https://www.saramin.co.krundefined","서울 중구","~12.31(화)","4명동역 도보 1분 이내"
"(주)청어람씨케이에스","청어람수학원 행정실 직원 모집","https://www.saramin.co.krundefined","서울 송파구 외","~01.17(금)","5방이역 도보 7분 이내"
"온리프성형외과","[강남역]피부관리사님 채용, 즉시출근자우대, 기숙사완비","https://www.saramin.co.krundefined","서울 서초구","상시채용","2신분당강남역 도보 3분 이내"
"온리프성형외과","[강남역,성형외과]원내TM 상담사채용,최고우대,남녀무관","https://www.saramin.co.krundefined","서울 서초구","상시채용","2신분당강남역 도보 3분 이내"
"(주)드림시스템","AGV 운영 관리  및 AS 인재를 모십니다.","https://www.saramin.co.krundefined","경기 수원시 권선구","~02.16(일)","수인분당고색역 도보 15분 이내"
"온리프성형외과","[성형외과 수술방 간호조무사 경력최고 우대채용]기숙사제공","https://www.saramin.co.krundefined","서울 서초구","상시채용","2신분당강남역 도보 3분 이내"
"(주)일루코","마케팅팀 해외영업&amp;기술영업 정규직 모집 공고","https://www.saramin.co.krundefined","경기 군포시","~01.17(금)","1군포역 도보 12분 이내"
"The 꼼꼼한치과의원","치과위생사모집(경력직우대)","https://www.saramin.co.krundefined","부산 부산진구","채용시","2동의대역 도보 7분 이내"
"(주)학문당교육만촌지점","기계식 주차장 관리인 모집","https://www.saramin.co.krundefined","대구 수성구","~01.17(금)","2만촌역 도보 3분 이내"
"키아광교코리아헤럴드국제어학원","키아광교 코리아헤럴드 국제어학원 상담실장님을 모십니다.","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.17(금)","신분당광교중앙역 도보 12분 이내"
"더핑크퐁컴퍼니(주)","[더핑크퐁컴퍼니] 글로벌 앱 제휴 마케터","https://www.saramin.co.krundefined","서울 서초구","~01.08(수)","2서초역 도보 4분 이내"
"(주)드림시스템","전장설계 및 제작 인재를 모십니다.","https://www.saramin.co.krundefined","경기 수원시 권선구","~01.17(금)","수인분당고색역 도보 15분 이내"
"키아광교코리아헤럴드국제어학원","2025년 3월 유치부, 초등부 영어 선생님을 모십니다.(키아광교)","https://www.saramin.co.krundefined","경기 수원시 영통구","~01.17(금)","신분당광교중앙역 도보 12분 이내"
"(주)중독컴퍼니","[카페인중독]본사 마케팅팀 팀장 모집 (무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","~01.14(화)","2역삼역 도보 7분 이내"
"(주)중독컴퍼니","[카페인중독]본사 컨텐츠, 디자인팀 팀장 모집 (무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","~01.14(화)","2역삼역 도보 7분 이내"
"(주)넥스아이","각 부문별 신입/경력 정규직 채용","https://www.saramin.co.krundefined","서울 송파구","~01.10(금)","8문정역 도보 4분 이내"
"주식회사더마루트","피부과 브랜드 BM, 영상 기획/촬영/편집 인재 채용","https://www.saramin.co.krundefined","경기 화성시","채용시","1병점역 도보 3분 이내"
"(주)중독컴퍼니","[카페인중독]본사 마케팅팀 SNS 마케터 모집(무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","D-3","9언주역 도보 7분 이내"
"혼다코리아부산(주)","[혼다코리아]남천동 혼다모터사이클 부품팀   직원 채용","https://www.saramin.co.krundefined","부산 수영구","채용시","2금련산역 도보 7분 이내"
"(주)중독컴퍼니","[카페인중독]본사 마케팅팀 컨텐츠 디자이너 모집(무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","~01.13(월)","9언주역 도보 7분 이내"
"(주)중독컴퍼니","[카페인중독]본사 앱 서비스 운영 팀장 모집(무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","~01.14(화)","2역삼역 도보 7분 이내"
"(주)퓨처이노베이션","[주식,경제,선물] 영상 촬영 편집 기획 PD 모집합니다","https://www.saramin.co.krundefined","서울 영등포구","~01.26(일)","25영등포구청역 도보 4분 이내"
"(주)이노플러스컴퍼니","정부 정책/ 전략기획 컨설턴트 모집","https://www.saramin.co.krundefined","서울 영등포구","~12.31(화)","9국회의사당역 도보 3분 이내"
"(주)중독컴퍼니","[카페인중독]본사 앱 풀스택 개발자 모집(무료구내식당)","https://www.saramin.co.krundefined","서울 강남구","~02.03(월)","9언주역 도보 7분 이내"
"서울힐링요양병원","서울힐링요양병원 원무행정 신입사원 채용 공고(정규직)","https://www.saramin.co.krundefined","서울 송파구","~01.04(토)","3경찰병원역 도보 7분 이내"
"(주)크레비즈인증원","[크레비즈인증원] 영업분야 경력직 채용","https://www.saramin.co.krundefined","서울 영등포구","D-6","9선유도역 도보 1분 이내"
"(주)피라인모터스","영업 분야 신입 및 경력 채용","https://www.saramin.co.krundefined","서울 금천구 외","~01.12(일)","7춘의역 도보 4분 이내"
"상상의원","[주 4일] 총괄실장/상담실장/코디네이터(한국/중국/일본)/간호","https://www.saramin.co.krundefined","서울 강남구 외","~12.31(화)","3신분당신사역 도보 4분 이내"
"(주)송지오인터내셔널","[SONGZIO] 여성복 디자이너 경력 채용","https://www.saramin.co.krundefined","서울 성동구 외","~01.08(수)","2뚝섬역 도보 7분 이내"
