회사명,제목,공고링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,가까운역,설립일,대표자명,업종,재무정보
미래에셋자산운용(주),[미래에셋자산운용]주식운용부문 리서치본부 정규직 전환형 인턴,https://www.saramin.co.krundefined,서울 종로구,신입 · 정규직 외,대학교(4년)↑,신입,~ 12/29(일),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,5마포역 도보 7분 이내,1966년 04월 13일                                (업력 59년차),김세종,기타 공학 연구개발업,"매출액 2,350.2억 영업이익 - 152.2억 (2022년 기준) 전체)"
우정사업본부,제5회 광양우체국 상시계약집배원(농어촌소포배달원) 채용,https://www.saramin.co.krundefined,전남 광양시,경력무관 · 정규직 외,학력무관,신입,~ 01/16(목),"Javascript, 프론트엔드, Java, 웹개발, CSS",면접 후 협의,26신당역 도보 7분 이내,1989년 09월 22일                                (업력 36년차),이상목,기타 공학 연구개발업,"매출액 4,382.4억 영업이익 149.9억 (2023년 기준) 전체)"
(재)안산환경재단,직원(기간제근로자) 공개모집 공고(운영 관리),https://www.saramin.co.krundefined,경기 안산시 상록구,경력무관 · 계약직,학력무관,신입,~ 12/30(월),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,9봉은사역 도보 7분 이내,2021년 04월 22일                                (업력 4년차),고상석,의학 및 약학 연구개발업,-
넥스틸(주),"넥스틸(주) 총무팀 사무직 채용 (소방,시설물)",https://www.saramin.co.krundefined,경북 포항시 남구,경력무관 · 정규직,대학교(4년)↑,신입,채용시,"Javascript, Java, 정보보안, SE(시스템엔지니어), 네트워크","4,000 만원",3신분당신사역 도보 7분 이내,2011년 04월 01일                                (업력 14년차),이동훈,의학 및 약학 연구개발업,-
(주)컴포즈커피,(주)컴포즈커피 전라센터 슈퍼바이저 신입 및 경력 채용,https://www.saramin.co.krundefined,광주 서구,경력무관 · 정규직,"대학(2,3년)↑",신입,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,에버라인지석역 도보 7분 이내,1969년 12월 19일                                (업력 56년차),허윤홍/허창수,토목시설물 건설업,-
우정사업본부,2024년 제9회 진천우체국 기간제 상시계약집배원(농어촌) 채용,https://www.saramin.co.krundefined,충북 진천군,경력무관 · 계약직,학력무관,신입,~ 12/31(화),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,12우이신설신설동역 도보 12분 이내,1981년 12월 31일                                (업력 44년차),김동철,송전 및 배전업,-
(주)바이넥스,(주)바이넥스 인천(송도) 인사팀 신입/경력사원 모집,https://www.saramin.co.krundefined,인천 연수구,신입 · 경력 · 정규직 외,대학교(4년)↑,신입,~ 02/08(토),"Javascript, Java, 웹개발, TypeScript, Spring",면접 후 협의,7학동역 도보 3분 이내,2005년 10월 07일                                (업력 20년차),황현순,포털 및 기타 인터넷 정보매개 서비스업,매출액 951.7억 영업이익 255.7억 (2023년 기준) 전체)
렉스젠(주),렉스젠(주) 전주지사 기술지원 사원모집,https://www.saramin.co.krundefined,전북 전주시 덕진구,경력무관 · 정규직,학력무관,신입,~ 12/23(월),"Javascript, 프론트엔드, CSS, 백엔드/서버개발, TypeScript",면접 후 협의,5영등포시장역 도보 7분 이내,1996년 08월 01일                                (업력 29년차),박철희/변부섭,토목시설물 건설업,"매출액 1.8조 영업이익 1,851.6억 (2023년 기준) 전체)"
농협손해보험(주),NH농협손해보험 일반계약직 채용 공고(재무심사팀),https://www.saramin.co.krundefined,서울 서대문구,경력무관 · 계약직,학력무관,신입,~ 12/22(일),"Javascript, 프론트엔드, Java, 웹개발, React",면접 후 협의,5영등포시장역 도보 7분 이내,1995년 03월 15일                                (업력 30년차),유인상,컴퓨터시스템 통합 자문 및 구축 서비스업,"매출액 6,765.2억 영업이익 509.5억 (2023년 기준) 전체)"
우정사업본부,2024년 제10회 진천우체국 실적급 상시계약집배원 채용,https://www.saramin.co.krundefined,충북 진천군,경력무관 · 정규직 외,학력무관,신입,진행예정,"Javascript, 웹개발, 퍼블리셔, 데이터시각화, 웹표준·웹접근성",면접 후 협의,5영등포시장역 도보 7분 이내,1990년 02월 20일                                (업력 35년차),오쿠라키쿠오,가전제품 및 부품 도매업,"매출액 3,215.7억 영업이익 23.6억 (2024년 기준) 전체)"
우정사업본부,2024년 제4회 안양우체국 주관 상시계약집배원(기간제) 채용,https://www.saramin.co.krundefined,경기 안양시,경력무관 · 계약직,학력무관,신입,~ 01/15(수),"Javascript, 프론트엔드, 웹개발, 백엔드/서버개발, 퍼블리셔",면접 후 협의,5영등포시장역 도보 7분 이내,1962년 05월 05일                                (업력 63년차),박승우/손영일/곽준상/김덕구,건물 및 토목 엔지니어링 서비스업,-
농협손해보험(주),NH농협손해보험 일반계약직 채용 공고(운용기획팀),https://www.saramin.co.krundefined,서울 서대문구,경력무관 · 계약직,학력무관,신입,~ 01/01(수),"Javascript, 프론트엔드, Java, React, CSS",면접 후 협의,9삼성중앙역 도보 7분 이내,2010년 12월 21일                                (업력 15년차),이효근/허태영,전기식 진단 및 요법 기기 제조업,"매출액 2,916.5억 영업이익 - 1,528.2억 (2023년 기준) 전체)"
㈜유유제약,㈜유유제약 인사실(복지/시설/총무) 신입/경력직 모집,https://www.saramin.co.krundefined,서울 중구,신입 · 경력 · 정규직 외,대학교(4년)↑,신입,상시채용,"Javascript, 프론트엔드, 웹개발, React, CSS",면접 후 협의,3압구정역 도보 7분 이내,1994년 09월 29일                                (업력 31년차),천병희,건물 및 토목 엔지니어링 서비스업,"매출액 1,396.8억 영업이익 138.6억 (2023년 기준) 전체)"
㈜함소아제약,"함소아제약 익산공장 품질관리 / 분석, 공정관리 (3교대)  채용",https://www.saramin.co.krundefined,전북 익산시,경력무관 · 정규직,"대학(2,3년)↑",신입,~ 12/31(화),"Javascript, Java, CSS, HTML, 퍼블리셔",면접 후 협의,1시청역 도보 3분 이내,1993년 09월 22일                                (업력 32년차),엄대열,그 외 자동차용 신품 부품 제조업,매출액 2.5조 영업이익 266.6억 (2023년 기준) 전체)
부산대학교병원,[부산대학교병원] 찾아가는건강의료서비스사업 코디네이터모집,https://www.saramin.co.krundefined,부산 서구 외,경력무관 · 계약직,학력무관,신입,~ 12/20(금),"Javascript, 프론트엔드, Java, 웹개발, React",110 만원,9석촌고분역 도보 12분 이내,1962년 04월 17일                                (업력 63년차),신완수,건물 및 토목 엔지니어링 서비스업,"매출액 2,314.7억 영업이익 29.6억 (2023년 기준) 전체)"
(주)농협하나로유통,[농협하나로유통] 하나로마트포항점 영업지원직(매입정산) 채용,https://www.saramin.co.krundefined,경북 포항시 북구,경력무관 · 계약직,학력무관,신입,채용시,"Javascript, 프론트엔드, 웹개발, React, 백엔드/서버개발",면접 후 협의,2삼성역 도보 7분 이내,1965년 12월 11일                                (업력 60년차),이상학/황주환,건물 및 토목 엔지니어링 서비스업,매출액 996.9억 영업이익 3.1억 (2023년 기준) 전체)
(주)유라코퍼레이션,[유라코퍼레이션] 모로코 법인 자재무역(한국인관리자) 채용,https://www.saramin.co.krundefined,아프리카 모로코,경력무관 · 정규직,학력무관,신입,~ 12/31(화),"Javascript, 프론트엔드, 웹개발, React, ReactJS",면접 후 협의,인천1갈산역 도보 7분 이내,1990년 10월 19일                                (업력 35년차),이관수,방사선 진단 및 병리 검사 의원,"매출액 2,716.6억 영업이익 - 124.4억 (2023년 기준) 전체)"
우정사업본부,제5회 음성우체국 상시계약집배원(농어촌소포배달원) 채용,https://www.saramin.co.krundefined,충북 음성군,경력무관 · 정규직 외,학력무관,신입,~ 01/16(목),"Javascript, Java, 기술지원, 유지보수, 퍼블리셔",면접 후 협의,경의중앙가좌역 도보 12분 이내,2013년 11월 15일                                (업력 12년차),김태완,그 외 기타 특수목적용 기계 제조업,"매출액 3,359.8억 영업이익 799.2억 (2023년 기준) 전체)"
(주)농협하나로유통,[농협하나로유통] 농협 하나로마트성서점 영업지원직 채용공고,https://www.saramin.co.krundefined,대구 달서구,경력무관 · 계약직,학력무관,신입,~ 01/16(목),"Javascript, Java, 백엔드/서버개발, 유지보수, SE(시스템엔지니어)",면접 후 협의,3사직역 도보 7분 이내,1990년 12월 01일                                (업력 35년차),류양권,그 외 기타 분류 안된 화학제품 제조업,"매출액 1,970.5억 영업이익 118.2억 (2023년 기준) 전체)"
우정사업본부,2024년 제5회 가평우체국 주관 공무직 농어촌소포배달원 채용,https://www.saramin.co.krundefined,경기 가평군,경력무관 · 정규직 외,학력무관,신입,~ 01/07(화),"Javascript, 프론트엔드, Java, 웹개발, CSS",면접 후 협의,2구로디지털단지역 도보 12분 이내,2002년 01월 15일                                (업력 23년차),유영웅,그 외 기타 특수목적용 기계 제조업,매출액 735.1억 영업이익 77.4억 (2023년 기준) 전체)
